Subj,Sex,Age,Condition,tLoc,tShape,tCol,TrainCount,AvgTrain,Overall_Training,Overall_Space,Overall_Feature,Overall_Conflict,B1_Training,B1_Space,B1_Feature,B1_Conflict,B2_Training,B2_Space,B2_Feature,B2_Conflict,Overall_Training_fl,Overall_Space_fl,Overall_Feature_fl,Overall_Conflict_fl,B1_Training_fl,B1_Space_fl,B1_Feature_fl,B1_Conflict_fl,B2_Training_fl,B2_Space_fl,B2_Feature_fl,B2_Conflict_fl,binom_Overall_Training,binom_Overall_Space,binom_Overall_Feature,binom_Overall_Conflict,binom_B1_Training,binom_B1_Space,binom_B1_Feature,binom_B1_Conflict,binom_B2_Training,binom_B2_Space,binom_B2_Feature,binom_B2_Conflict
9,M,12.93333333,Color,Left,Circle,lBlue,31,5.16667,0.625454,0.269188,0.275047,0.884508,0.649072,0.538376,0.239423,1,0.601836,0,0.31067,0.769017,0.580645,0,0.5,1,0.666667,0,0,1,0.5,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1
2000,F,7.133333333,Color,Left,Circle,Green,28,4.66667,0.815593,0.5,0.523179,0.739292,0.8293,0,1,1,0.799777,1,0.0463576,0.478585,0.714286,0.5,0.5,1,0.866667,0,1,1,0.538462,1,0,1,1,0,1,1,1,0,1,1,1,1,0,0
2001,F,11.63333333,Color,Right,Circle,Green,22,6.66667,0.605252,0,0.467831,0.610105,0.632409,0,0.467831,0.610105,0.0621019,,,,0.5,0,0,0,0.55,0,0,0,0,,,,1,0,0,1,1,0,0,1,0,,,
2002,F,11.8,Color,Right,Circle,Green,32,5.33333,0.691463,0.636701,0.454741,1,0.64934,1,0,1,0.743308,0.273403,0.909483,1,0.625,1,0.5,1,0.588235,1,0,1,0.666667,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1
2003,M,12.1,Color,Left,Circle,lBlue,32,5.33333,0.774252,0.802727,0.513918,0.851259,0.853037,0.755869,0.696203,0.702517,0.704736,0.849585,0.331633,1,0.65625,1,0.5,0.5,0.733333,1,1,0,0.588235,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
2004,M,11.93333333,Color,Left,Circle,Green,29,4.83333,0.87883,0.947292,0.456626,1,0.863079,1,0.749551,1,0.894582,0.894584,0.163701,1,0.862069,1,0.5,1,0.866667,1,1,1,0.857143,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
2006,M,12.43333333,Color,Right,Circle,Green,28,4.66667,0.698198,0.768304,0.5,0.991159,0.639684,0.536608,1,1,0.761213,1,0,0.982318,0.678571,1,0.5,1,0.666667,1,1,1,0.692308,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
2007,F,11.9,Color,Left,Circle,lBlue,34,5.66667,0.56912,0.705584,0,0.734886,0.442638,0.411168,0,0.469772,0.72479,1,0,1,0.676471,1,0,1,0.631579,1,0,1,0.733333,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1
2008,F,6.2,Color,Left,Circle,Green,30,9.66667,0.590909,1,1,1,0.619048,1,1,1,0,,,,0.433333,1,1,1,0.448276,1,1,1,0,,,,1,1,1,1,1,1,1,1,0,,,
2009,F,9.533333333,Color,Right,Circle,lBlue,30,5,0.712208,1,0.463659,1,0.743945,1,0.927318,1,0.680471,1,0,1,0.7,1,0.5,1,0.733333,1,1,1,0.666667,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1
2010,F,9.766666667,Color,Right,Circle,Green,38,8,0.610354,0,0.475177,0,0.519378,0,0.475177,0,0.808846,,,,0.473684,0,0,0,0.5,0,0,0,0.428571,,,,1,0,0,0,1,0,0,0,1,,,
2011,M,12.66666667,Color,Left,Circle,Green,36,9.66667,0.417259,0.386364,1,0.714286,0.454365,0.386364,1,0.714286,0.237915,,,,0.333333,0,1,0,0.37931,0,1,0,0.142857,,,,0,0,1,1,0,0,1,1,0,,,
2012,F,13.8,Color,Left,Circle,Green,40,7.8,0.73082,0.546816,0.484036,0.830896,0.69376,0.546816,0.56244,0.830896,0.765233,,0.405631,,0.575,1,0.5,0.5,0.75,1,0,1,0.458333,,1,0,1,1,0,1,1,1,1,1,1,,0,
2013,M,12.53333333,Color,Right,Circle,lBlue,35,5.83333,0.701665,0.495402,1,0.720364,0.625616,0.235804,1,0.87782,0.803062,0.755,,0.562908,0.657143,0.5,0.5,0.5,0.6,0,1,1,0.733333,1,0,0,1,0,1,1,1,0,1,1,1,1,,1
2014,M,12.2,Color,Right,Circle,Green,32,10.6667,0.711463,0.800971,1,0.191011,0.711463,0.800971,1,0.191011,,,,,0.46875,1,1,0,0.46875,1,1,0,,,,,1,1,1,0,1,1,1,0,,,,
2015,F,12.03333333,Color,Left,Circle,lBlue,43,6.5,0.475331,0.376258,0.326172,,0.667917,0.376258,0.326172,,0.369409,,,,0.325581,0,0,,0.461538,0,0,,0.266667,,,,0,0,0,,1,0,0,,0,,,
2016,F,12.6,Color,Left,Circle,Green,25,11.5,0.499308,0.773885,0.595405,,0.451623,0.773885,0.595405,,1,,,,0.44,1,0,,0.434783,1,0,,0.5,,,,0,1,1,,0,1,1,,1,,,
2017,F,12.1,Color,Right,Circle,lBlue,52,12,0.436953,0,0.280728,0.873188,0.433516,0,0.280728,0.873188,0.446207,,,,0.346154,0,1,1,0.361111,0,1,1,0.3125,,,,0,0,0,1,0,0,0,1,0,,,
2018,M,10.76666667,Color,Right,Circle,Green,33,6.6,0.474889,0.351496,0.683206,0.439462,0.430519,0.702991,0.366412,0.439462,0.559192,0,1,,0.454545,0.5,0.5,1,0.45,1,0,1,0.461538,0,1,,0,0,1,0,0,1,0,0,1,0,1,
2020,F,12.14,Color,Right,Circle,Green,26,10,0.383131,0.477504,,,0.36516,0.477504,,,0.393239,,,,0.307692,1,,,0.4,1,,,0.25,,,,0,0,,,0,0,,,0,,,
2021,M,13.7,Color,Right,Circle,lBlue,36,6,0.719178,0.857143,0.529177,0.86063,0.83623,0.714286,0.389648,0.757914,0.631389,1,0.668705,0.963346,0.527778,0.5,0.5,1,0.666667,0,1,1,0.428571,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1
2022,M,11.9,Color,Left,Circle,Green,36,6,0.695736,1,0.720044,0.811896,0.727175,1,0.440087,1,0.670916,1,1,0.623791,0.694444,1,1,1,0.8,1,1,1,0.619048,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
2023,F,11.03333333,Color,Left,Circle,lBlue,39,6.5,0.647463,0.892157,0.566703,0.5,0.637967,,0.575101,0,0.655903,0.892157,0.558304,1,0.564103,0.5,1,0.5,0.578947,0,1,0,0.55,1,1,1,1,1,1,0,1,,1,0,1,1,1,1
2024,F,10.7,Color,Left,Circle,Green,28,5,0.586897,0.407407,0.375,0,0.584271,0.407407,0.375,0,0.590311,,,,0.464286,0,1,0,0.666667,0,1,0,0.230769,,,,1,0,0,0,1,0,0,0,1,,,
2025,M,13.2,Color,Right,Circle,lBlue,35,5.83333,0.630871,0.951045,0.300093,0.746606,0.677696,0.90209,0,0.746606,0.589898,1,0.600186,,0.657143,1,0,0.5,0.666667,1,0,1,0.65,1,0,0,1,1,0,1,1,1,0,1,1,1,1,
2026,F,11.86666667,Color,Right,Circle,Green,30,5,0.653658,0.524504,0.250201,0.198809,0.640468,0.418795,0.47105,0.147368,0.665969,0.630213,0.0293522,0.25025,0.7,0.5,0,0.5,0.8,0,0,0,0.6,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
4000,F,13.1,Shape,Left,Circle,Green,36,8.75,0.384685,0,0.603856,0.818829,0.372563,0,0.207711,0.818829,0.402402,,1,,0.444444,0,0.5,1,0.5,0,0,1,0.357143,,1,,0,0,1,1,0,0,0,1,0,,1,
4001,F,13.1,Shape,Left,Square,lBlue,36,9.66667,0.363979,0.604504,0.778571,0.723465,0.349695,0.604504,0.778571,0.723465,0.443968,,,,0.277778,0,1,1,0.275862,0,1,1,0.285714,,,,0,1,1,1,0,1,1,1,0,,,
4002,F,11.46666667,Shape,Left,Circle,Green,32,5.33333,0.775108,0.881249,0.420059,0.665475,0.801115,0.939189,0.117311,0.452518,0.751101,0.823308,0.722807,0.878431,0.53125,1,0,1,0.529412,1,0,1,0.533333,1,0,1,1,1,0,1,1,1,0,0,1,1,1,1
4004,F,12.93333333,Shape,Left,Square,lBlue,37,6.16667,0.730914,0.616315,0.835443,0.32447,0.65473,0.569979,0.670886,0.0909091,0.853981,0.662651,1,0.55803,0.513514,0,0.5,0,0.5,0,0,0,0.533333,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1
4005,M,12.3,Shape,Right,Circle,Green,35,5.83333,0.721215,0.669492,0,0.951737,0.607641,0.338983,0,1,0.891577,1,,0.903475,0.6,0.5,0,1,0.5,0,0,1,0.733333,1,0,1,1,1,0,1,1,0,0,1,1,1,,1
4006,M,12.1,Shape,Right,Square,lBlue,35,6.4,0.648277,0.217949,0.859649,0.415999,0.598902,0.217949,0.859649,0.340426,0.737152,,,0.491573,0.542857,0,1,0.5,0.5,0,1,0,0.615385,0,,1,1,0,1,0,1,0,1,0,1,,,0
